scale	N	K0	K1	K2	K3
11	32768	1.76019e+06	2.2417e+06	3.76923e+06	6.33283e+08
12	65536	2.39594e+06	2.94181e+06	4.69596e+06	7.77764e+08
13	131072	3.12184e+06	2.52171e+06	2.98214e+06	5.48208e+08
14	262144	2.81938e+06	3.99997e+06	5.40484e+06	8.69735e+08
15	524288	3.55502e+06	4.01538e+06	5.08056e+06	7.87788e+08
16	1048576	3.36626e+06	3.94695e+06	4.78318e+06	6.72444e+08
17	2097152	2.74168e+06	2.90748e+06	4.56012e+06	4.24226e+08
18	4194304	1.63348e+06	1.36396e+06	3.96525e+06	2.8393e+08
19	8388608	1.4353e+06	1.8929e+06	3.89169e+06	2.58069e+08
20	16777216	1.39358e+06	1.75048e+06	3.84505e+06	2.20885e+08
21	33554432	1.44921e+06	1.69962e+06	3.76211e+06	1.68702e+08
22	67108864	1.59222e+06	1.50859e+06	3.63382e+06	1.34893e+08
#	C++	run	on	2015-10-26	21:06:38	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.88986e+06	1.78959e+06	3.17401e+06	5.4871e+08
11	32768	2.15864e+06	2.21004e+06	3.71334e+06	5.67119e+08
12	65536	2.59974e+06	2.87708e+06	4.61405e+06	7.28065e+08
13	131072	3.32308e+06	3.92924e+06	5.81781e+06	9.38237e+08
14	262144	3.84343e+06	4.12067e+06	5.40046e+06	8.7822e+08
15	524288	3.56303e+06	4.02621e+06	5.08867e+06	7.88138e+08
16	1048576	3.37371e+06	3.97265e+06	4.80732e+06	6.7437e+08
17	2097152	2.70264e+06	2.86395e+06	4.06084e+06	4.28667e+08
18	4194304	1.82912e+06	2.05718e+06	3.96346e+06	2.89153e+08
19	8388608	1.5111e+06	1.43554e+06	3.91293e+06	2.56402e+08
20	16777216	1.23527e+06	1.68462e+06	3.85987e+06	2.18298e+08
21	33554432	1.33689e+06	1.62793e+06	3.72577e+06	1.65077e+08
22	67108864	1.46339e+06	1.58337e+06	3.61491e+06	1.3141e+08
#	C++	run	on	2015-10-26	21:10:27	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.89329e+06	1.79323e+06	3.14812e+06	5.32074e+08
11	32768	2.1628e+06	2.2152e+06	3.67801e+06	6.22179e+08
12	65536	2.60566e+06	2.88934e+06	4.58286e+06	7.10242e+08
13	131072	3.28834e+06	3.83961e+06	5.66323e+06	9.39894e+08
14	262144	3.83206e+06	4.13874e+06	5.41624e+06	8.79863e+08
15	524288	3.55916e+06	4.01228e+06	5.00929e+06	7.83033e+08
16	1048576	3.36799e+06	3.94344e+06	4.77804e+06	6.62986e+08
17	2097152	2.75704e+06	2.92835e+06	4.07979e+06	4.11626e+08
18	4194304	2.05087e+06	2.20969e+06	3.95431e+06	2.87713e+08
19	8388608	1.70096e+06	1.9799e+06	3.93669e+06	2.56336e+08
20	16777216	1.59335e+06	1.64467e+06	3.85913e+06	2.16872e+08
21	33554432	1.43514e+06	1.49682e+06	3.78388e+06	1.65301e+08
22	67108864	1.67845e+06	1.554e+06	3.63868e+06	1.32395e+08
#	C++	run	on	2015-10-26	21:14:05	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.8883e+06	1.73998e+06	3.15266e+06	5.44893e+08
11	32768	1.75804e+06	2.18352e+06	3.77672e+06	6.29104e+08
12	65536	2.40003e+06	2.86322e+06	4.71596e+06	7.77437e+08
13	131072	3.18492e+06	3.57803e+06	5.80971e+06	9.36629e+08
